#    L    TT             EE             TE          
   463   0.193220E+04   0.130216E+02  -0.704904E+02
   464   0.194254E+04   0.128530E+02  -0.706414E+02
   465   0.195287E+04   0.126844E+02  -0.707718E+02
   466   0.196328E+04   0.125151E+02  -0.708593E+02
   467   0.197376E+04   0.123465E+02  -0.709188E+02
   468   0.198417E+04   0.121786E+02  -0.709428E+02
   469   0.199458E+04   0.120100E+02  -0.709388E+02
   470   0.200507E+04   0.118428E+02  -0.708992E+02
   471   0.201534E+04   0.116770E+02  -0.708241E+02
   472   0.202576E+04   0.115112E+02  -0.707208E+02
   473   0.203611E+04   0.113461E+02  -0.705820E+02
   474   0.204647E+04   0.111825E+02  -0.704150E+02
   475   0.205682E+04   0.110188E+02  -0.702124E+02
   476   0.206704E+04   0.108572E+02  -0.699764E+02
   477   0.207718E+04   0.106964E+02  -0.697167E+02
   478   0.208732E+04   0.105361E+02  -0.694146E+02
   479   0.209740E+04   0.103781E+02  -0.690947E+02
   480   0.210741E+04   0.102214E+02  -0.687375E+02
   481   0.211735E+04   0.100662E+02  -0.683469E+02
   482   0.212729E+04   0.991302E+01  -0.679287E+02
   483   0.213702E+04   0.976126E+01  -0.674852E+02
   484   0.214660E+04   0.961162E+01  -0.670103E+02
   485   0.215626E+04   0.946335E+01  -0.665056E+02
   486   0.216578E+04   0.931793E+01  -0.659733E+02
   487   0.217516E+04   0.917462E+01  -0.654133E+02
   488   0.218440E+04   0.903265E+01  -0.648249E+02
   489   0.219357E+04   0.889352E+01  -0.642096E+02
   490   0.220268E+04   0.875722E+01  -0.635666E+02
   491   0.221149E+04   0.862299E+01  -0.628988E+02
   492   0.222032E+04   0.849158E+01  -0.622055E+02
   493   0.222900E+04   0.836150E+01  -0.614851E+02
   494   0.223754E+04   0.823570E+01  -0.607415E+02
   495   0.224587E+04   0.811196E+01  -0.599730E+02
   496   0.225406E+04   0.799175E+01  -0.591812E+02
   497   0.226211E+04   0.787434E+01  -0.583653E+02
   498   0.227002E+04   0.775896E+01  -0.575282E+02
   499   0.227786E+04   0.764784E+01  -0.566670E+02
   500   0.228549E+04   0.753875E+01  -0.557860E+02
   501   0.229284E+04   0.743390E+01  -0.548838E+02
   502   0.230020E+04   0.733257E+01  -0.539604E+02
   503   0.230727E+04   0.723399E+01  -0.530179E+02
   504   0.231412E+04   0.713891E+01  -0.520548E+02
   505   0.232099E+04   0.704808E+01  -0.510748E+02
   506   0.232750E+04   0.696089E+01  -0.500756E+02
   507   0.233394E+04   0.687705E+01  -0.490594E+02
